,close,strike_price,price,rf,S/K,day_diff,weekNo,date,exdate,impl_volatility,vega
2294,1459.37,1375.0,124.15,0.02,1.0613599999999999,270.0,1,2013-01-03,2013-09-30,0.186978,460.9777
2296,1459.37,1425.0,91.75,0.02,1.024119298245614,270.0,1,2013-01-03,2013-09-30,0.175061,486.8607
2298,1459.37,1475.0,63.6,0.02,0.9894033898305084,270.0,1,2013-01-03,2013-09-30,0.163069,487.8469
2300,1459.37,1525.0,40.75,0.02,0.9569639344262294,270.0,1,2013-01-03,2013-09-30,0.151756,455.1381
2302,1459.37,1575.0,23.85,0.02,0.926584126984127,270.0,1,2013-01-03,2013-09-30,0.141789,386.7128
7943,1461.02,1360.0,101.35,0.02,1.0742794117647059,30.0,2,2013-01-09,2013-02-08,0.181719,62.33006999999999
12180,1472.34,1515.0,10.4,0.02,0.9718415841584158,60.0,3,2013-01-15,2013-03-16,0.118105,188.2776
14486,1480.94,1510.0,6.4,0.02,0.9807549668874173,30.0,3,2013-01-17,2013-02-16,0.10851199999999998,129.0647
18760,1494.81,1385.0,121.1,0.02,1.0792851985559566,150.0,4,2013-01-23,2013-06-22,0.166689,295.9964
18763,1494.81,1400.0,109.15,0.02,1.0677214285714285,150.0,4,2013-01-23,2013-06-22,0.162214,313.3839
18766,1494.81,1450.0,72.30000000000001,0.02,1.030903448275862,150.0,4,2013-01-23,2013-06-22,0.14716300000000002,361.5093
18769,1494.81,1480.0,52.8,0.02,1.0100067567567568,150.0,4,2013-01-23,2013-06-22,0.1376,375.3974
18772,1494.81,1495.0,44.05,0.02,0.9998729096989967,150.0,4,2013-01-23,2013-06-22,0.132905,375.4296
18776,1494.81,1510.0,36.2,0.02,0.9899403973509934,150.0,4,2013-01-23,2013-06-22,0.128679,369.6524
18779,1494.81,1525.0,29.1,0.02,0.9802032786885245,150.0,4,2013-01-23,2013-06-22,0.124394,357.342
18782,1494.81,1600.0,6.85,0.02,0.93425625,150.0,4,2013-01-23,2013-06-22,0.106878,207.7012
19519,1494.81,1400.0,93.6,0.02,1.0677214285714285,30.0,4,2013-01-23,2013-02-22,0.142442,45.970659999999995
20125,1494.82,1375.0,140.6,0.02,1.0871418181818182,240.0,4,2013-01-24,2013-09-21,0.177491,405.1593
20127,1494.82,1425.0,104.25,0.02,1.04899649122807,240.0,4,2013-01-24,2013-09-21,0.16489700000000002,449.7984
20129,1494.82,1475.0,71.95,0.02,1.013437288135593,240.0,4,2013-01-24,2013-09-21,0.151948,473.3142
20131,1494.82,1485.0,66.2,0.02,1.0066127946127945,240.0,4,2013-01-24,2013-09-21,0.149594,474.1833
20133,1494.82,1525.0,45.3,0.02,0.9802098360655738,240.0,4,2013-01-24,2013-09-21,0.139801,460.7724
20135,1494.82,1575.0,25.35,0.02,0.9490920634920634,240.0,4,2013-01-24,2013-09-21,0.12886,400.9704
20137,1494.82,1625.0,12.3,0.02,0.9198892307692307,240.0,4,2013-01-24,2013-09-21,0.119478,300.1281
24596,1507.84,1400.0,120.9,0.02,1.0770285714285714,150.0,5,2013-01-29,2013-06-28,0.168682,305.2625
24599,1507.84,1475.0,65.0,0.02,1.022264406779661,150.0,5,2013-01-29,2013-06-28,0.143698,373.5431
24602,1507.84,1550.0,24.95,0.02,0.9728,150.0,5,2013-01-29,2013-06-28,0.12224000000000002,348.2662
24605,1507.84,1625.0,5.9,0.02,0.9279015384615384,150.0,5,2013-01-29,2013-06-28,0.107753,190.9483
40148,1521.38,1495.0,34.35,0.02,1.0176454849498329,30.0,7,2013-02-14,2013-03-16,0.12125599999999999,148.8806
43005,1530.94,1430.0,103.25,0.02,1.0705874125874126,60.0,8,2013-02-19,2013-04-20,0.158334,138.248
43055,1530.94,1700.0,0.15,0.02,0.9005529411764707,60.0,8,2013-02-19,2013-04-20,0.10930699999999999,11.85115
45377,1511.95,1525.0,13.05,0.02,0.9914426229508198,30.0,8,2013-02-20,2013-03-22,0.116497,162.4288
47217,1515.6,1400.0,124.75,0.02,1.0825714285714285,120.0,8,2013-02-22,2013-06-22,0.173464,250.2983
47222,1515.6,1450.0,84.85,0.02,1.0452413793103448,120.0,8,2013-02-22,2013-06-22,0.156496,305.8217
47227,1515.6,1485.0,59.95,0.02,1.0206060606060605,120.0,8,2013-02-22,2013-06-22,0.14438299999999998,333.8145
47232,1515.6,1505.0,47.05,0.02,1.0070431893687708,120.0,8,2013-02-22,2013-06-22,0.13692200000000002,340.8896
47237,1515.6,1530.0,33.2,0.02,0.9905882352941175,120.0,8,2013-02-22,2013-06-22,0.128769,335.6248
47242,1515.6,1560.0,19.95,0.02,0.9715384615384615,120.0,8,2013-02-22,2013-06-22,0.11968499999999999,303.137
47247,1515.6,1625.0,4.35,0.02,0.9326769230769231,120.0,8,2013-02-22,2013-06-22,0.104316,155.0752
50186,1496.94,1400.0,101.1,0.02,1.0692428571428572,30.0,9,2013-02-26,2013-03-28,0.219033,92.92487
52816,1514.68,1425.0,107.80000000000001,0.02,1.0629333333333333,120.0,9,2013-02-28,2013-06-28,0.17902,288.7292
52821,1514.68,1530.0,36.55,0.02,0.9899869281045752,120.0,9,2013-02-28,2013-06-28,0.139289,337.61300000000006
52826,1514.68,1575.0,16.95,0.02,0.9617015873015874,120.0,9,2013-02-28,2013-06-28,0.12351600000000001,284.1339
55476,1525.2,1400.0,145.2,0.02,1.0894285714285714,210.0,10,2013-03-04,2013-09-30,0.182835,378.1922
55478,1525.2,1450.0,107.4,0.02,1.0518620689655174,210.0,10,2013-03-04,2013-09-30,0.168244,424.1497
55480,1525.2,1500.0,74.05,0.02,1.0168,210.0,10,2013-03-04,2013-09-30,0.15451700000000002,452.026
55482,1525.2,1530.0,56.55,0.02,0.9968627450980393,210.0,10,2013-03-04,2013-09-30,0.146369,453.1736
55484,1525.2,1540.0,51.3,0.02,0.9903896103896104,210.0,10,2013-03-04,2013-09-30,0.143902,450.1276
55486,1525.2,1550.0,46.3,0.02,0.984,210.0,10,2013-03-04,2013-09-30,0.14143599999999998,445.1714
55488,1525.2,1600.0,25.450000000000003,0.02,0.95325,210.0,10,2013-03-04,2013-09-30,0.129556,389.5524
55490,1525.2,1650.0,11.8,0.02,0.9243636363636364,210.0,10,2013-03-04,2013-09-30,0.118942,288.0331
58211,1541.46,1425.0,148.4,0.02,1.0817263157894736,300.0,10,2013-03-06,2013-12-31,0.18093399999999998,490.7973
58212,1541.46,1450.0,130.35,0.02,1.0630758620689655,300.0,10,2013-03-06,2013-12-31,0.174768,511.3647
58213,1541.46,1475.0,113.15,0.02,1.045057627118644,300.0,10,2013-03-06,2013-12-31,0.168656,528.2791
58214,1541.46,1500.0,97.1,0.02,1.02764,300.0,10,2013-03-06,2013-12-31,0.16297799999999998,540.3008
58215,1541.46,1525.0,82.05,0.02,1.0107934426229508,300.0,10,2013-03-06,2013-12-31,0.15726099999999998,546.0498
58216,1541.46,1550.0,68.05,0.02,0.9944903225806452,300.0,10,2013-03-06,2013-12-31,0.151425,544.1699
58217,1541.46,1575.0,55.5,0.02,0.978704761904762,300.0,10,2013-03-06,2013-12-31,0.14604,533.4315
58218,1541.46,1600.0,44.349999999999994,0.02,0.9634125,300.0,10,2013-03-06,2013-12-31,0.14088499999999998,512.9796
58219,1541.46,1625.0,34.65,0.02,0.9485907692307692,300.0,10,2013-03-06,2013-12-31,0.135979,482.5518
58220,1541.46,1650.0,26.4,0.02,0.9342181818181818,300.0,10,2013-03-06,2013-12-31,0.13131199999999998,442.6495
58221,1541.46,1675.0,19.75,0.02,0.9202746268656716,300.0,10,2013-03-06,2013-12-31,0.127353,395.7497
58222,1541.46,1700.0,14.45,0.02,0.9067411764705883,300.0,10,2013-03-06,2013-12-31,0.12381700000000001,344.1395
64981,1554.52,1625.0,0.675,0.02,0.9566276923076923,30.0,11,2013-03-13,2013-04-12,0.093153,38.64092
69105,1548.34,1595.0,8.95,0.02,0.9707460815047021,60.0,12,2013-03-19,2013-05-18,0.10941,188.0386
71599,1545.8,1595.0,2.325,0.02,0.9691536050156739,30.0,12,2013-03-21,2013-04-20,0.097831,83.12199
73242,1556.89,1425.0,139.75,0.02,1.0925543859649123,120.0,12,2013-03-22,2013-07-20,0.177426,240.7136
73247,1556.89,1550.0,46.349999999999994,0.02,1.0044451612903227,120.0,12,2013-03-22,2013-07-20,0.135735,350.6152
73252,1556.89,1675.0,3.95,0.02,0.9294865671641792,120.0,12,2013-03-22,2013-07-20,0.103826,148.2014
74575,1551.69,1425.0,144.9,0.02,1.0889052631578948,180.0,13,2013-03-25,2013-09-21,0.18396700000000002,344.779
74576,1551.69,1450.0,124.9,0.02,1.0701310344827586,180.0,13,2013-03-25,2013-09-21,0.175636,369.6931
74577,1551.69,1475.0,105.9,0.02,1.051993220338983,180.0,13,2013-03-25,2013-09-21,0.167686,392.6052
74578,1551.69,1480.0,102.3,0.02,1.0484391891891893,180.0,13,2013-03-25,2013-09-21,0.166303,396.8223
74579,1551.69,1485.0,98.6,0.02,1.044909090909091,180.0,13,2013-03-25,2013-09-21,0.16456199999999999,400.7713
74581,1551.69,1500.0,88.19999999999999,0.02,1.03446,180.0,13,2013-03-25,2013-09-21,0.160403,411.5711
74582,1551.69,1525.0,71.45,0.02,1.0175016393442624,180.0,13,2013-03-25,2013-09-21,0.152481,424.0733
74583,1551.69,1530.0,68.4,0.02,1.0141764705882352,180.0,13,2013-03-25,2013-09-21,0.151222,425.5859
74584,1551.69,1535.0,65.15,0.02,1.0108729641693812,180.0,13,2013-03-25,2013-09-21,0.149359,426.7155
74585,1551.69,1540.0,62.2,0.02,1.0075909090909092,180.0,13,2013-03-25,2013-09-21,0.148059,427.4348
74586,1551.69,1545.0,59.35,0.02,1.0043300970873787,180.0,13,2013-03-25,2013-09-21,0.146851,427.7245
74587,1551.69,1550.0,56.35,0.02,1.0010903225806451,180.0,13,2013-03-25,2013-09-21,0.145146,427.56199999999995
74588,1551.69,1575.0,42.85,0.02,0.9852000000000001,180.0,13,2013-03-25,2013-09-21,0.137812,419.1745
74589,1551.69,1600.0,31.4,0.02,0.96980625,180.0,13,2013-03-25,2013-09-21,0.131153,396.7246
74590,1551.69,1625.0,21.950000000000003,0.02,0.9548861538461538,180.0,13,2013-03-25,2013-09-21,0.12481700000000001,359.3925
74591,1551.69,1650.0,14.7,0.02,0.9404181818181818,180.0,13,2013-03-25,2013-09-21,0.11941800000000001,309.687
74592,1551.69,1675.0,9.5,0.02,0.9263820895522389,180.0,13,2013-03-25,2013-09-21,0.11518800000000001,253.4342
74593,1551.69,1700.0,5.699999999999999,0.02,0.9127588235294118,180.0,13,2013-03-25,2013-09-21,0.11069100000000001,193.4957
75956,1563.77,1450.0,142.75,0.02,1.0784620689655173,270.0,13,2013-03-26,2013-12-21,0.17443599999999998,466.6358
75958,1563.77,1500.0,107.5,0.02,1.0425133333333334,270.0,13,2013-03-26,2013-12-21,0.162899,507.0833
75960,1563.77,1550.0,75.94999999999999,0.02,1.008883870967742,270.0,13,2013-03-26,2013-12-21,0.150842,525.8862
75962,1563.77,1580.0,59.65,0.02,0.9897278481012658,270.0,13,2013-03-26,2013-12-21,0.144301,521.6174
75964,1563.77,1590.0,54.6,0.02,0.9835031446540881,270.0,13,2013-03-26,2013-12-21,0.14205399999999999,517.0132
75966,1563.77,1600.0,49.8,0.02,0.97735625,270.0,13,2013-03-26,2013-12-21,0.13986700000000002,510.6954
75968,1563.77,1650.0,29.6,0.02,0.9477393939393939,270.0,13,2013-03-26,2013-12-21,0.129707,452.5486
75970,1563.77,1700.0,15.899999999999999,0.02,0.9198647058823529,270.0,13,2013-03-26,2013-12-21,0.121467,357.1478
83273,1553.69,1425.0,146.15,0.02,1.0903087719298246,180.0,14,2013-04-03,2013-09-30,0.18268900000000002,343.3707
83274,1553.69,1450.0,126.45,0.02,1.0715103448275862,180.0,14,2013-04-03,2013-09-30,0.17546099999999998,369.2349
83275,1553.69,1475.0,107.7,0.02,1.0533491525423728,180.0,14,2013-04-03,2013-09-30,0.168383,392.7515
83276,1553.69,1500.0,89.9,0.02,1.0357933333333333,180.0,14,2013-04-03,2013-09-30,0.161076,412.0678
83277,1553.69,1525.0,73.2,0.02,1.0188131147540984,180.0,14,2013-04-03,2013-09-30,0.153531,425.1476
83278,1553.69,1530.0,70.0,0.02,1.015483660130719,180.0,14,2013-04-03,2013-09-30,0.151976,426.8022
83279,1553.69,1535.0,66.9,0.02,1.0121758957654723,180.0,14,2013-04-03,2013-09-30,0.150524,428.0852
83280,1553.69,1540.0,63.8,0.02,1.0088896103896103,180.0,14,2013-04-03,2013-09-30,0.14893499999999998,428.9744
83281,1553.69,1545.0,60.8,0.02,1.0056245954692558,180.0,14,2013-04-03,2013-09-30,0.14744000000000002,429.4451
83282,1553.69,1550.0,57.95,0.02,1.0023806451612904,180.0,14,2013-04-03,2013-09-30,0.146151,429.4759
83283,1553.69,1575.0,44.45,0.02,0.9864698412698413,180.0,14,2013-04-03,2013-09-30,0.13919,422.3249
83284,1553.69,1600.0,32.85,0.02,0.9710562500000001,180.0,14,2013-04-03,2013-09-30,0.132629,401.5239
83285,1553.69,1625.0,23.2,0.02,0.9561169230769231,180.0,14,2013-04-03,2013-09-30,0.126341,366.1193
83286,1553.69,1650.0,15.65,0.02,0.941630303030303,180.0,14,2013-04-03,2013-09-30,0.120726,317.8342
83287,1553.69,1675.0,10.149999999999999,0.02,0.9275761194029851,180.0,14,2013-04-03,2013-09-30,0.116159,261.8986
83288,1553.69,1700.0,6.4,0.02,0.9139352941176471,180.0,14,2013-04-03,2013-09-30,0.112792,205.4801
83289,1553.69,1725.0,4.0,0.02,0.9006898550724638,180.0,14,2013-04-03,2013-09-30,0.110749,155.2929
83595,1553.69,1625.0,0.7749999999999999,0.02,0.9561169230769231,30.0,14,2013-04-03,2013-05-03,0.09642300000000001,41.557159999999996
86197,1553.28,1450.0,137.55,0.02,1.0712275862068965,270.0,14,2013-04-05,2013-12-31,0.17814000000000002,475.8483
86199,1553.28,1500.0,103.05,0.02,1.03552,270.0,14,2013-04-05,2013-12-31,0.166134,511.0175
86201,1553.28,1550.0,72.85,0.02,1.002116129032258,270.0,14,2013-04-05,2013-12-31,0.154666,523.4898
86203,1553.28,1600.0,47.8,0.02,0.9708,270.0,14,2013-04-05,2013-12-31,0.14382999999999999,502.2434
86205,1553.28,1650.0,28.6,0.02,0.9413818181818182,270.0,14,2013-04-05,2013-12-31,0.133917,440.8823
86207,1553.28,1700.0,15.7,0.02,0.9136941176470588,270.0,14,2013-04-05,2013-12-31,0.126209,347.7845
97860,1541.61,1630.0,0.7749999999999999,0.02,0.9457730061349693,30.0,16,2013-04-18,2013-05-18,0.116382,36.181740000000005
